Region,District,Sorghum (Mtama) Min Price,Sorghum (Mtama) Max Price,Maize (Mahindi) Min Price,Maize (Mahindi) Max Price,Rice (Mchele) Min Price,Rice (Mchele) Max Price,Bulrush Millet (Uwele) Min Price,Bulrush Millet (Uwele) Max Price,Finger Millet (Ulezi) Min Price,Finger Millet (Ulezi) Max Price,Wheat Grain (Ngano) Min Price,Wheat Grain (Ngano) Max Price,Beans (Maharage) Min Price,Beans (Maharage) Max Price,Irish Potatoes (Viazi Min Price,Irish Potatoes (Viazi Max Price
Dar es saalam,Ilala,70000,80000,170000,250000,NA,NA,NA,NA,180000,190000,NA,NA,300000,320000,70000,73000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,100000
Dar es saalam,Temeke,60000,80000,160000,280000,130000,140000,130000,140000,180000,190000,160000,180000,260000,320000,110000,115000
Dar es saalam,Tandale,100000,100000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,90000,90000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,75000,80000
Dar es saalam,Mwananyamala,90000,90000,150000,320000,80000,90000,80000,90000,200000,220000,140000,140000,310000,340000,80000,85000
Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,150000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,95000,80000
Arusha,Kilombero,66000,67000,160000,250000,85000,90000,90000,92000,150000,152000,95000,100000,230000,265000,95000,100000
Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,75000,70000
Morogoro,Morogoro,64062,70312,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,77800,74400
Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,180000,200000,350000,400000,250000,90000,90000
Iringa,Iringa,54000,56000,150000,250000,130000,150000,150000,150000,200000,200000,200000,160000,250000,280000,75000,72000
Mara,Musoma,75000,75000,150000,160000,180000,180000,180000,200000,200000,200000,240000,240000,260000,230000,150000,150000
Tanga,Mgandini,120000,120000,200000,200000,120000,120000,120000,200000,200000,200000,200000,200000,260000,260000,120000,120000
Songwe,Songwe,50000,58000,180000,200000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,170000,170000
Tabora,Tabora,60000,61000,130000,150000,170000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,95000
Geita,Nyankumbu,80000,80000,180000,180000,170000,170000,210000,210000,180000,180000,210000,210000,360000,360000,115000,115000
Kagera,Bukoba,85000,90000,160000,300000,140000,150000,140000,150000,200000,220000,180000,200000,180000,260000,90000,110000
Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
Manyara,BabatiTC,66000,72000,170000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,100000
Mbeya,Igawilo/Soweto,60000,60000,180000,230000,200000,200000,160000,160000,170000,170000,170000,170000,280000,300000,115000,100000
Ruvuma,Songea,54000,70000,170000,300000,50000,50000,NA,NA,150000,150000,NA,NA,280000,300000,76000,80000
Shinyanga,Shinyanga,70000,70000,160000,160000,100000,100000,100000,100000,220000,220000,220000,220000,270000,270000,100000.00,100000
Mwanza,Mwanza,80000,80000,150000,250000,120000,160000,110000,150000,180000,200000,NA,NA,270000,300000,100000,100000
Pwani,Mnalani,100000,120000,170000,250000,160000,160000,170000,170000,230000,230000,200000,200000,300000,350000,150000,150000
Simiyu,Bariadi TC,69000,69000,140000,150000,150000,180000,180000,200000,220000,220000,250000,250000,290000,270000,150000,140000
Kigoma,Kigoma,72200,72200,140000,180000,80000,100000,100000,170000,200000,240000,170000,180000,300000,300000,100000,100000
Rukwa,Sumbawanga,65000,70000,180000,220000,NA,NA,NA,NA,75000,120000,70000,80000,210000,290000,70000,75000
,BEI ZA JUMLA ZA MAZAO MAKUU YA CHAKULA NCHINI (TZS / KILO 100) 15 NOVEMBA, 2024,,,,,,,,,,,,,,,,,
