Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Min Price,Wheat Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-02-23,Arusha,Arusha (Urban),60000,61000,180000,230000,60000,70000,65000,70000,135000,133000,150000,150000,160000,200000,100000,85000
2022-02-23,D'Salaam,Kinondoni (Tandale),60000,100000,170000,250000,110000,120000,80000,80000,170000,180000,170000,180000,200000,240000,60000,65000
2022-02-23,Dodoma,Majengo,50000,57000,175000,198000,76500,80000,65000,69000,155000,145000,NA,NA,175000,195000,78000,110000
2022-02-23,Dodoma,Kibaigwa,52000,52000,180000,210000,62000,70000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-23,Iringa,Iringa,50000,55000,180000,210000,100000,120000,NA,NA,150000,150000,150000,150000,180000,200000,87500,87500
2022-02-23,Kagera,Bukoba,57000,62000,150000,180000,120000,140000,120000,140000,130000,150000,130000,140000,100000,180000,70000,55000
2022-02-23,Katavi,Mpanda,62000,66000,150000,150000,180000,200000,NA,NA,180000,200000,NA,NA,200000,240000,75000,75000
2022-02-23,Kilimanjaro,Moshi,60000,60000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
2022-02-23,Lindi,Lindi,70000,80000,180000,210000,150000,200000,NA,NA,150000,200000,NA,NA,200000,220000,110000,100000
2022-02-23,Manyara,Babati,60000,72000,160000,200000,80000,100000,80000,100000,150000,160000,160000,180000,150000,168000,80000,80000
2022-02-23,Kigoma,Kigoma,55000,66000,150000,170000,100000,100000,100000,100000,150000,150000,150000,150000,120000,130000,100000,100000
2022-02-23,Morogoro,Morogoro,58600,58600,170000,180000,160000,160000,160000,160000,160000,170000,160000,160000,180000,180000,86000,86000
2022-02-23,Mtwara,Mtwara Dc,55000,55000,180000,200000,NA,NA,NA,NA,180000,180000,NA,NA,190000,200000,NA,NA
2022-02-23,Mwanza,Mwanza,75000,80000,160000,250000,150000,200000,170000,180000,200000,180000,NA,NA,155000,250000,100000,100000
2022-02-23,Njombe,Njombe,60000,60000,200000,250000,NA,NA,NA,NA,150000,175000,180000,180000,150000,220000,60000,60000
2022-02-23,Rukwa,Sumbawanga,52000,55000,160000,180000,NA,NA,NA,NA,NA,NA,NA,NA,175000,180000,70000,70000
2022-02-23,Tanga,Tanga,55555,55555,180000,200000,90000,100000,80000,80000,180000,160000,130000,140000,170000,200000,85000,85000
