Date,Region,District,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2024-11-22,Dar es saalam,Ilala,70000,80000,170000,250000,NA,NA,NA,NA,180000,190000,NA,NA,300000,320000,70000,73000
2024-11-22,Dar es saalam,Tandika,50000,60000,150000,160000,130000,130000,120000,130000,170000,180000,320000,260000,95000,110000,100000,115000
2024-11-22,Dar es saalam,Temeke,52000,80000,280000,280000,140000,140000,130000,140000,180000,190000,390000,320000,100000,115000
2024-11-22,Dar es saalam,Tandale,90000,90000,170000,320000,80000,90000,80000,90000,200000,200000,140000,140000,310000,340000,80000,85000
2024-11-22,Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,75000,80000
2024-11-22,Dar es saalam,Mwananyamala,90000,100000,150000,250000,80000,90000,80000,90000,200000,200000,140000,140000,310000,340000,80000,85000
2024-11-22,Kilimanjaro,Moshi,90000,100000,320000,340000,NA,NA,120000,120000,220000,200000,200000,200000,300000,360000,150000,150000
2024-11-22,Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,95000
2024-11-22,Arusha,Kilombero,66000,67000,160000,250000,85000,90000,90000,92000,150000,152000,95000,100000,230000,265000,95000,100000
2024-11-22,Dodoma,Majengo,65000,70000,170000,190000,67000,70000,63000,70000,170000,180000,NA,NA,260000,280000,80000,90000
2024-11-22,Morogoro,Morogoro,70312,71875,220000,240000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,78200,86100
2024-11-22,Mtwara,Mtwara Dc,57000,57000,160000,300000,200000,200000,400000,400000,200000,200000,300000,300000,270000,270000,100000,100000
2024-11-22,Lindi,Lindi mjini,70000,70000,160000,300000,200000,280000,280000,280000,180000,200000,350000,400000,250000,280000,90000,90000
2024-11-22,Iringa,Iringa,59000,61000,150000,250000,130000,150000,130000,150000,180000,200000,160000,170000,250000,280000,75000,80000
2024-11-22,Mara,Musoma,79000,80000,150000,160000,180000,180000,180000,180000,200000,200000,230000,240000,230000,240000,140000,150000
2024-11-22,Tanga,Mgandini,100000,100000,200000,200000,120000,120000,200000,200000,200000,200000,200000,200000,260000,260000,100000,100000
2024-11-22,Songwe,Songwe,50000,58000,190000,200000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,170000,170000
2024-11-22,Tabora,Tabora,70312,71875,220000,240000,150000,170000,180000,190000,180000,190000,NA,NA,250000,290000,90000,90000
2024-11-22,Geita,Nyankumbu,80000,80000,175000,175000,170000,170000,210000,210000,200000,200000,210000,210000,360000,360000,110000,110000
2024-11-22,Kagera,Bukoba,85000,88000,160000,300000,140000,150000,140000,150000,200000,220000,180000,200000,180000,260000,90000,110000
2024-11-22,Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,150000
2024-11-22,Manyara,BabatiTC,66000,72000,170000,300000,100000,120000,100000,120000,140000,150000,130000,150000,210000,240000,95000,115000
2024-11-22,Mbeya,Igawilo/Soweto,60000,60000,180000,230000,200000,200000,160000,160000,170000,170000,170000,170000,280000,300000,100000,100000
2024-11-22,Ruvuma,Songea,54000,70000,170000,300000,50000,50000,NA,NA,150000,150000,NA,NA,280000,300000,76000,80000
2024-11-22,Shinyanga,Shinyanga,70000,70000,160000,160000,100000,100000,100000,100000,220000,220000,220000,220000,270000,270000,100000,100000.00
2024-11-22,Mwanza,Mwanza,80000,80000,140000,150000,120000,160000,110000,150000,180000,200000,NA,NA,285000,300000,95000,100000
2024-11-22,Pwani,Mnalani,120000,120000,170000,220000,160000,160000,160000,160000,230000,230000,200000,200000,300000,350000,150000,150000
2024-11-22,Simiyu,Bariadi TC,69000,69000,140000,150000,150000,180000,180000,200000,200000,220000,250000,250000,280000,300000,140000,150000
2024-11-22,Kigoma,Kigoma,72200,72200,140000,225000,80000,80000,150000,NA,220000,150000,170000,110000,270000,270000,100000,100000
2024-11-22,Njombe,Makambako,55600,58300,180000,250000,100000,90000,170000,NA,240000,175000,180000,150000,250000,260000,58000,60000
2024-11-22,Rukwa,Sumbawanga,65000,70000,180000,220000,NA,NA,NA,NA,75000,120000,80000,85000,210000,290000,70000,75000
