Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
Dar es saalam,Ilala,75000,80000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,300000,330000,64000,64000
Dar es saalam,Temeke,80000,85000,220000,220000,130000,140000,130000,140000,140000,200000,280000,350000,100000,100000
Kilimanjaro,Moshi,90000,85000,280000,220000,NA,NA,NA,NA,180000,NA,280000,280000,85000,85000
Singida,Singida,65000,75000,200000,350000,85000,90000,85000,90000,90000,120000,NA,NA,240000,350000,85000,90000
Arusha,Arusha,70000,75000,260000,300000,70000,75000,75000,80000,85000,90000,NA,NA,200000,250000,75000,85000
Dodoma,Majengo,68000,87500,240000,300000,69000,140000,67500,112000,NA,285000,78000,NA,290000,85000
Morogoro,Morogoro,72000,88000,210000,220000,72000,160000,72500,120000,120000,230000,55600,295000,58900
Mtwara,Mtwara Dc,85000,90000,250000,330000,150000,150000,150000,150000,100000,100000,180000,180000,320000,320000,40000,40000
Lindi,Lindi Mc,90000,100000,210000,350000,300000,350000,NA,NA,180000,200000,NA,NA,280000,300000,75000,80000
Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,55000,60000
Tanga,Tanga,110000,110000,250000,250000,120000,120000,120000,120000,150000,150000,NA,NA,250000,250000,70000,70000
Tabora,Tabora,78000,82000,200000,280000,150000,160000,180000,190000,180000,190000,NA,NA,260000,300000,100000,101000
Geita,Geita,92500,92500,220000,220000,240000,240000,220000,220000,260000,260000,190000,190000,330000,330000,95000,95000
Kagera,Bukoba,85000,90000,210000,350000,160000,180000,160000,180000,150000,170000,200000,220000,200000,250000,65000,85000
Mara,Musoma,90000,90000,190000,190000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Katavi,Mpimbwe,75000,75000,250000,250000,45000,45000,NA,NA,120000,120000,280000,280000,250000,250000,NA,NA
Manyara,Manyara,80000,102000,250000,300000,80000,90000,90000,120000,90000,120000,130000,150000,240000,270000,90000,90000
Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
Ruvuma,Songea,50000,55000,260000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,90000,95000
Shinyanga,Shinyanga,100000,120000,220000,300000,70000,150000,70000,180000,120000,170000,NA,NA,260000,280000,75000,80000
Mwanza,Mwanza,80000,90000,230000,290000,130000,180000,130000,180000,130000,180000,NA,NA,220000,280000,90000,100000
Pwani,Pwani,110000,114000,200000,280000,NA,NA,82000,83000,83000,85000,NA,NA,300000,320000,90000,93000
Simiyu,Bariadi TC,90000,90000,200000,210000,110000,120000,170000,170000,180000,180000,160000,160000,260000,270000,75000,75000
Kigoma,Kigoma,77780,83300,230000,300000,100000,200000,100000,100000,150000,150000,180000,350000,235000,240000,80000,90000
Rukwa,Sumbawanga,65000,68000,190000,220000,NA,NA,NA,NA,180000,200000,NA,NA,170000,210000,75000,75000
