Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-11-04,Arusha,Arusha,105000,110000,270000,340000,80000,82000,80000,85000,120000,125000,130000,150000,230000,290000,90000,95000
2022-11-04,Dar es Salaam,Tandika,105000,110000,220000,320000,100000,120000,110000,120000,180000,180000,200000,220000,280000,350000,83000,85000
2022-11-04,Dodoma,Majengo,105000,115000,268500,320000,65000,76000,79500,83000,128800,142000,180000,182000,215000,295000,98000,82000
2022-11-04,Iringa,Iringa,80000,85000,290000,300000,130000,130000,180000,180000,170000,170000,180000,200000,210000,300000,60000,70000
2022-11-04,Kagera,Bukoba,120000,124000,240000,340000,180000,190000,170000,190000,180000,190000,190000,200000,240000,330000,90000,80000
2022-11-04,Katavi,Mpanda,100000,108000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-11-04,Kigoma,Kigoma,100000,100000,220000,240000,130000,130000,100000,100000,130000,130000,180000,180000,240000,240000,95000,95000
2022-11-04,Kilimanjaro,Kilimanjaro,120000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
2022-11-04,Lindi,Lindi,100000,120000,230000,300000,200000,300000,NA,NA,200000,300000,350000,400000,260000,320000,120000,120000
2022-11-04,Morogoro,Morogoro,106000,109375,270000,280000,190000,190000,190000,190000,190000,200000,210000,230000,280000,280000,80000,85000
2022-11-04,Manyara,Babati,110000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,330000,360000,95000,95000
2022-11-04,Mtwara,Mtwara,80000,80000,240000,280000,100000,100000,NA,NA,180000,180000,NA,NA,280000,280000,110000,100000
2022-11-04,Rukwa,Sumbawanga,80000,90000,180000,210000,NA,NA,NA,NA,175000,200000,160000,180000,200000,300000,70000,70000
2022-11-04,Ruvuma,Songea,73000,76000,200000,300000,NA,NA,NA,NA,NA,NA,NA,NA,240000,260000,95000,90000
2022-11-04,Tabora,Tabora,108000,118000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
2022-11-04,Tanga,Tanga,114500,115500,248000,279500,99500,99500,NA,NA,200000,200000,199000,200000,278500,281000,100500,95000
