Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-04-27,Arusha,Arusha (Urban),75000,78000,200000,250000,62000,65000,68000,70000,139000,140000,120000,130000,150000,190000,85000,90000
2022-04-27,"D'Salaam",Kinondoni (Tandale),80000,120000,180000,250000,100000,140000,100000,120000,180000,220000,200000,250000,240000,280000,55000,53000
2022-04-27,"D'Salaam",Ilala (Buguruni),65000,66000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,200000,230000,63000,53000
2022-04-27,Dodoma,Majengo,68000,72000,178000,210000,75000,80000,62000,70000,142500,150000,NA,NA,185000,200000,69500,85000
2022-04-27,Dodoma,Kibaigwa,65000,66000,180000,200000,60000,60000,NA,NA,NA,NA,NA,NA,180000,180000,NA,NA
2022-04-27,Iringa,Iringa,60000,62000,170000,180000,100000,120000,NA,NA,150000,150000,150000,150000,170000,220000,55000,55000
2022-04-27,Kagera,Bukoba,75000,80000,170000,210000,120000,140000,140000,150000,150000,170000,200000,220000,140000,180000,60000,75000
2022-04-27,Katavi,Mpanda,65000,65000,150000,180000,180000,200000,NA,NA,180000,200000,NA,NA,165000,170000,60000,55000
2022-04-27,Kilimanjaro,Moshi,85000,85000,160000,200000,120000,120000,120000,120000,NA,NA,140000,140000,170000,200000,70000,70000
2022-04-27,Lindi,Lindi,70000,70000,170000,230000,200000,200000,NA,NA,200000,200000,NA,NA,200000,200000,70000,70000
2022-04-27,Manyara,Babati,72000,90000,180000,220000,80000,100000,80000,100000,150000,160000,200000,220000,150000,180000,100000,100000
2022-04-27,Kigoma,Kigoma,63889,63889,180000,200000,100000,120000,120000,120000,170000,180000,180000,180000,165000,170000,90000,80000
2022-04-27,Mara,Musoma,65000,65000,150000,150000,60000,65000,180000,200000,180000,200000,NA,NA,225000,230000,95000,90000
2022-04-27,Morogoro,Morogoro,64000,64000,198000,200000,170000,180000,170000,180000,170000,175000,170000,230000,190000,200000,95000,95000
2022-04-27,Mtwara,Mtwara Dc,65000,65000,190000,200000,95000,100000,NA,NA,180000,180000,NA,NA,175000,180000,80000,78000
2022-04-27,Mwanza,Mwanza,65000,65000,160000,220000,140000,180000,150000,180000,180000,180000,NA,NA,170000,230000,90000,80000
2022-04-27,Njombe,Njombe,56000,60000,200000,250000,NA,NA,NA,NA,150000,175000,180000,180000,150000,220000,46000,50500
2022-04-27,Rukwa,Sumbawanga,55000,55000,150000,180000,NA,NA,NA,NA,150000,180000,170000,180000,160000,180000,50000,60000
2022-04-27,Shinyanga,Shinyanga,55000,60000,160000,180000,90000,100000,90000,100000,NA,NA,NA,NA,170000,180000,65000,70000
2022-04-27,Tabora,Tabora,58000,60000,160000,190000,NA,NA,NA,NA,NA,NA,190000,190000,180000,200000,NA,NA
2022-04-27,Tanga,Tanga,62000,67000,190000,220000,100000,100000,100000,100000,170000,180000,160000,170000,180000,190000,65000,65000
