Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Dar es saalam,Ilala,53000,55000,170000,250000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,80000,100000
Dar es saalam,Tandika,50000,52000,150000,280000,130000,140000,120000,130000,170000,180000,170000,180000,320000,390000,95000,110000
Dar es saalam,Temeke,58000,60000,160000,180000,280000,250000,130000,90000,140000,90000,130000,90000,140000,90000,160000,170000
Dar es saalam,Tandale,100000,100000,180000,180000,250000,130000,90000,140000,160000,180000,260000,300000,330000,320000,110000,80000
Dar es saalam,Ubungo,NA,NA,210000,280000,NA,NA,NA,NA,NA,NA,NA,NA,240000,270000,65000,78000
Dar es saalam,Mwananyamala,90000,90000,180000,250000,90000,90000,90000,90000,170000,180000,140000,150000,300000,320000,76000,150000
Kilimanjaro,Moshi,100000,100000,250000,340000,NA,NA,120000,120000,200000,200000,200000,200000,300000,360000,150000,95000
Singida,Namfua,60000,70000,180000,350000,80000,120000,80000,120000,95000,120000,180000,300000,200000,300000,80000,120000
Arusha,Kilombero,60000,65000,180000,250000,85000,90000,80000,85000,140000,140000,90000,95000,160000,240000,115000,75000
Dodoma,Majengo,60000,60000,140000,230000,60000,60000,45000,50000,160000,190000,NA,NA,270000,280000,70000,77700
Morogoro,Morogoro,53125,53125,150000,180000,120000,130000,120000,130000,140000,150000,120000,120000,270000,280000,74400,100000
Mtwara,Mtwara Dc,57000,57000,160000,280000,200000,200000,400000,400000,400000,400000,300000,300000,260000,260000,100000,90000
Lindi,Lindi mjini,70000,70000,145000,280000,200000,300000,280000,280000,200000,250000,400000,400000,250000,270000,90000,75000
Iringa,Iringa,46000,47000,130000,200000,130000,150000,130000,150000,140000,180000,150000,170000,230000,270000,70000,150000
Mara,Musoma,63000,65000,145000,155000,150000,180000,180000,180000,150000,180000,230000,230000,200000,280000,130000,110000
Tanga,Mgandini,100000,100000,160000,160000,120000,120000,200000,200000,200000,200000,200000,200000,240000,240000,110000,150000
Songwe,Songwe,41600,45000,165000,175000,150000,150000,NA,NA,200000,200000,200000,200000,200000,200000,150000,95000
Tabora,Tabora,60000,60000,120000,140000,170000,180000,180000,190000,180000,190000,NA,NA,280000,290000,90000,130000
Geita,Nyankumbu,65000,65000,170000,170000,170000,170000,225000,225000,220000,220000,225000,225000,330000,330000,130000,95000
Kagera,Bukoba,65000,72000,140000,300000,130000,140000,130000,150000,170000,180000,180000,190000,180000,250000,80000,150000
Katavi,Majengo,50000,50000,260000,260000,200000,200000,NA,NA,200000,200000,NA,NA,270000,270000,150000,115000
Manyara,BabatiTC,54000,66000,170000,280000,120000,130000,120000,130000,120000,130000,150000,160000,170000,210000,115000,100000
Mbeya,Igawilo/Soweto,50000,50000,155000,160000,200000,200000,150000,150000,180000,180000,140000,140000,220000,220000,100000,80000
Ruvuma,Songea,38000,70000,200000,280000,50000,55000,NA,NA,60000,80000,NA,NA,220000,260000,72000,
Shinyanga,Shinyanga,65000,70000,130000,160000,150000,150000,100000,100000,200000,200000,230000,230000,230000,250000,95000,100000
Mwanza,Mwanza,70000,70000,150000,210000,130000,160000,110000,150000,140000,180000,NA,NA,270000,270000,100000,160000
Pwani,Mnalani,100000,100000,160000,220000,200000,200000,160000,160000,200000,200000,200000,200000,280000,300000,160000,150000
Simiyu,Bariadi TC,70000,70000,140000,150000,130000,150000,170000,180000,170000,180000,250000,250000,270000,280000,150000,100000
Kigoma,Kigoma,77700,77700,130000,160000,120000,120000,200000,200000,200000,220000,200000,200000,260000,260000,80000,75000
Rukwa,Sumbawanga,48000,60000,120000,160000,NA,NA,NA,NA,75000,120000,65000,75000,180000,270000,55000,
